max_periods,n_groups,var,p_min,p_max,n_sims,intercept,slope
3,50,x1,0.0925,0.19375,500,0.10363032863069466,0.02789270974999431
3,50,x1,0.0925,0.19375,500,0.10492852259398977,0.04588126259085771
3,50,x1,0.0925,0.19375,500,0.11561733218285118,0.049454582706382935
3,50,x1,0.0925,0.19375,500,0.11010602703886373,0.05032734131103348
3,50,x1,0.0925,0.19375,500,0.07232886570104657,0.18091477044869642
3,50,x1,0.0925,0.19375,500,0.08444707458079932,0.04932294817205958
3,50,x1,0.0925,0.19375,500,0.0883879598672358,0.2202984696036321
3,50,x1,0.0925,0.19375,500,0.0882820872283064,0.011543604228378626
3,50,x1,0.0925,0.19375,500,0.08499080777708126,0.07285407437431789
3,50,x1,0.0925,0.19375,500,0.07127712755771319,0.11759070976725858
3,50,x1,0.0925,0.19375,500,0.1115374310504061,0.13077961098840774
3,50,x1,0.0925,0.19375,500,0.08692212395668195,0.16788445733759463
3,50,x1,0.0925,0.19375,500,0.07437811307472361,0.08253954410535559
3,50,x1,0.0925,0.19375,500,0.10345484852856533,0.13258712990016283
3,50,x1,0.0925,0.19375,500,0.07067853177748608,0.6022430856557791
3,50,x1,0.0925,0.19375,500,0.12861482638095523,0.0895838120412682
3,50,x1,0.0925,0.19375,500,0.07567528640164119,0.21361795043817366
3,50,x1,0.0925,0.19375,500,0.11269426755806496,0.049882677400580284
3,50,x1,0.0925,0.19375,500,0.08245610397217054,0.19638022042898973
3,50,x1,0.0925,0.19375,500,0.0765987075385583,0.2681774252966574
3,50,x1,0.0925,0.19375,500,0.07955060355232055,0.19117355908836448
3,50,x1,0.0925,0.19375,500,0.11021935541884195,0.15334300855813657
3,50,x1,0.0925,0.19375,500,0.057080567202510125,0.41392164675386217
3,50,x1,0.0925,0.19375,500,0.10952583258136118,0.09018342459382821
3,50,x1,0.0925,0.19375,500,0.07882598042304167,0.20633824732842995
3,50,x1,0.0925,0.19375,500,0.1303506262638926,-0.068180838486233325
3,50,x1,0.0925,0.19375,500,0.07466526138077573,0.28100191377881695
3,50,x1,0.0925,0.19375,500,0.13378320482215034,-0.06843233628804624
3,50,x1,0.0925,0.19375,500,0.08500119781869785,0.07413253363863384
3,50,x1,0.0925,0.19375,500,0.07805399634015167,0.12474471124159615
3,50,x1,0.0925,0.19375,500,0.08893133931167238,0.29984763526463176
3,50,x1,0.0925,0.19375,500,0.0762424941095309,0.15247557171911696
3,50,x1,0.0925,0.19375,500,0.09922826318482775,0.013662423059579515
3,50,x1,0.0925,0.19375,500,0.06775939678756351,0.12714890932310136
3,50,x1,0.0925,0.19375,500,0.09057589481434081,0.12716575381046327
3,50,x1,0.0925,0.19375,500,0.09574902104694982,0.09085704468134358
3,50,x1,0.0925,0.19375,500,0.08324106027860763,0.1570798236544201
3,50,x1,0.0925,0.19375,500,0.08083648785488827,0.06315103989210485
3,50,x1,0.0925,0.19375,500,0.0734681571059189,0.12644633160051777
3,50,x1,0.0925,0.19375,500,0.13386511897504366,0.145932580249008
3,50,x1,0.0925,0.19375,500,0.12101283286026963,-0.05126031910997433
3,50,x1,0.0925,0.19375,500,0.10583270830251064,-0.018229168235086565
3,50,x1,0.0925,0.19375,500,0.08628022197596351,0.05271154048042818
3,50,x1,0.0925,0.19375,500,0.08509726570092553,0.10525950155373914
3,50,x1,0.0925,0.19375,500,0.11050578413405916,0.06742130071865413
3,50,x1,0.0925,0.19375,500,0.08773721695145038,0.17741122936130552
