max_periods,n_groups,var,p_min,p_max,n_sims,intercept,slope
3,50,x1,0.04,0.45916666666666667,500,0.058105503723386666,0.3371278529676891
3,50,x1,0.04,0.45916666666666667,500,0.028194242496912915,0.3952904225752903
3,50,x1,0.04,0.45916666666666667,500,0.05582527828394696,0.372273559416846
3,50,x1,0.04,0.45916666666666667,500,0.01556690647748462,0.6367879620219189
3,50,x1,0.04,0.45916666666666667,500,0.01855894229563093,0.6152445031432466
3,50,x1,0.04,0.45916666666666667,500,0.03486584088974891,0.5262544500399823
3,50,x1,0.04,0.45916666666666667,500,0.060916952283291234,0.32342395077778635
3,50,x1,0.04,0.45916666666666667,500,0.05156065578683549,0.2857891325856466
3,50,x1,0.04,0.45916666666666667,500,0.03950237758689921,0.35983711593314716
3,50,x1,0.04,0.45916666666666667,500,0.03285367536916113,0.7869071940959914
3,50,x1,0.04,0.45916666666666667,500,0.03884336251961869,0.3942620672578973
3,50,x1,0.04,0.45916666666666667,500,0.048906197854279396,0.28713393508100127
3,50,x1,0.04,0.45916666666666667,500,0.046892930113702054,0.585231090994218
3,50,x1,0.04,0.45916666666666667,500,0.03927289159774666,0.4766858370203105
3,50,x1,0.04,0.45916666666666667,500,0.029303672913727784,0.43831257411313573
3,50,x1,0.04,0.45916666666666667,500,0.0336514645630528,0.4767621392240406
3,50,x1,0.04,0.45916666666666667,500,0.021447122076475488,0.639108119905512
3,50,x1,0.04,0.45916666666666667,500,0.04241383904879574,0.2555842814385331
3,50,x1,0.04,0.45916666666666667,500,0.03528791894822167,0.38844392134473044
3,50,x1,0.04,0.45916666666666667,500,0.020166449350671162,0.6058443229938925
3,50,x1,0.04,0.45916666666666667,500,0.04231832886607163,0.3600830874526643
3,50,x1,0.04,0.45916666666666667,500,0.044967997518858445,0.16097014274917246
3,50,x1,0.04,0.45916666666666667,500,0.03322200267342236,0.552035396038086
3,50,x1,0.04,0.45916666666666667,500,0.027456343361317463,0.7821425123988907
3,50,x1,0.04,0.45916666666666667,500,0.026188217078860338,0.5944873130768281
3,50,x1,0.04,0.45916666666666667,500,0.033778237470153884,0.38253802721583907
3,50,x1,0.04,0.45916666666666667,500,0.063716746518634515,0.5013935845006605
3,50,x1,0.04,0.45916666666666667,500,0.03298063821108288,0.26669931157151083
